Wall time,Step,Value
1684569733.296423,10,-90.0
1684569733.594692,20,-87.0999984741211
1684569733.887662,30,-87.0999984741211
1684569734.246522,40,-106.0999984741211
1684569734.5377855,50,-88.0
1684569734.91982,60,-111.0
1684569735.217155,70,-87.80000305175781
1684569735.53244,80,-93.4000015258789
1684569735.8714552,90,-101.19999694824219
1684569736.1677232,100,-89.0999984741211
1684569736.5247395,110,-107.5999984741211
1684569736.8798087,120,-108.0999984741211
1684569737.1830838,130,-92.4000015258789
1684569737.4891186,140,-93.5
1684569737.8121455,150,-97.9000015258789
1684569738.0954025,160,-85.19999694824219
1684569738.3842194,170,-86.5999984741211
1684569738.7308319,180,-105.69999694824219
1684569739.098165,190,-111.5
1684569739.4341698,200,-102.0
1684569739.791817,210,-108.9000015258789
1684569740.1656642,220,-114.69999694824219
1684569740.470595,230,-91.0999984741211
1684569740.7584121,240,-86.69999694824219
1684569741.1005616,250,-103.5999984741211
1684569741.4615278,260,-110.0
1684569741.828546,270,-109.9000015258789
1684569742.130515,280,-89.80000305175781
1684569742.4585042,290,-98.69999694824219
1684569742.8014703,300,-102.5999984741211
1684569743.0837266,310,-85.0
1684569743.3746145,320,-87.0
1684569743.6878986,330,-94.5999984741211
1684569744.037784,340,-106.19999694824219
1684569744.3397045,350,-89.4000015258789
1684569744.6780107,360,-102.5
1684569744.9629326,370,-86.30000305175781
1684569745.325875,380,-110.80000305175781
1684569745.6241438,390,-90.80000305175781
1684569745.9380126,400,-95.9000015258789
1684569746.2319386,410,-89.9000015258789
1684569746.5372155,420,-93.19999694824219
1684569746.8270226,430,-88.0999984741211
1684569747.122207,440,-89.80000305175781
1684569747.4681673,450,-105.0999984741211
1684569747.7630417,460,-89.9000015258789
1684569748.0933406,470,-100.80000305175781
1684569748.4082017,480,-95.4000015258789
1684569748.6814492,490,-83.69999694824219
1684569748.979354,500,-91.0999984741211
1684569749.3583605,510,-113.0999984741211
1684569749.687659,520,-97.69999694824219
1684569750.0027163,530,-94.4000015258789
1684569750.2972631,540,-88.9000015258789
1684569750.6065433,550,-93.69999694824219
1684569750.905498,560,-89.0
1684569751.2898133,570,-113.5999984741211
1684569751.6293395,580,-100.19999694824219
1684569751.9353175,590,-92.0999984741211
1684569752.2192569,600,-84.0
1684569752.5265355,610,-92.9000015258789
1684569752.8684347,620,-102.0
1684569753.1827183,630,-94.19999694824219
1684569753.5083733,640,-96.0
1684569753.785533,650,-84.5
1684569754.0978081,660,-94.5
1684569754.3643053,670,-81.0999984741211
1684569754.7699513,680,-122.69999694824219
1684569755.1333842,690,-107.69999694824219
1684569755.491423,700,-105.4000015258789
1684569755.8043606,710,-91.69999694824219
1684569756.1958647,720,-116.5
1684569756.5006447,730,-89.80000305175781
1684569756.7805655,740,-84.19999694824219
1684569757.0758982,750,-88.0
1684569757.365819,760,-85.69999694824219
1684569757.7074814,770,-93.19999694824219
1684569758.154888,780,-104.5
1684569758.4767437,790,-93.80000305175781
1684569758.8106332,800,-98.5
1684569759.1168954,810,-88.9000015258789
1684569759.5318933,820,-121.19999694824219
1684569759.896968,830,-99.4000015258789
1684569760.3076096,840,-116.4000015258789
1684569760.6543546,850,-101.5
1684569760.9719527,860,-85.30000305175781
1684569761.4470546,870,-120.30000305175781
1684569761.7381802,880,-85.0999984741211
1684569762.037694,890,-85.5
1684569762.3861475,900,-94.5999984741211
1684569762.6899447,910,-90.0999984741211
1684569762.9962473,920,-90.0999984741211
1684569763.3084307,930,-93.0
1684569763.6097038,940,-89.5999984741211
1684569763.9589167,950,-105.5999984741211
1684569764.244809,960,-86.30000305175781
1684569764.5474217,970,-91.5999984741211
1684569764.8374152,980,-87.9000015258789
1684569765.1656735,990,-100.0999984741211
1684569765.4957578,1000,-97.4000015258789
