Wall time,Step,Value
1684569854.3934698,10,-96.30000305175781
1684569854.7674148,20,-111.80000305175781
1684569855.1667764,30,-119.5999984741211
1684569855.4826434,40,-93.69999694824219
1684569855.7916217,50,-90.30000305175781
1684569856.1659596,60,-110.5999984741211
1684569856.5373006,70,-110.30000305175781
1684569856.8612237,80,-97.0
1684569857.1931698,90,-98.69999694824219
1684569857.5154614,100,-96.4000015258789
1684569857.867317,110,-105.4000015258789
1684569858.1535761,120,-86.5999984741211
1684569858.4785333,130,-98.0
1684569858.871514,140,-118.30000305175781
1684569859.1948068,150,-97.80000305175781
1684569859.5246959,160,-97.30000305175781
1684569859.9066176,170,-114.9000015258789
1684569860.2125914,180,-91.80000305175781
1684569860.5268757,190,-92.80000305175781
1684569860.8728874,200,-101.5999984741211
1684569861.3824918,210,-131.8000030517578
1684569861.7131262,220,-96.5999984741211
1684569862.0842056,230,-103.4000015258789
1684569862.4124055,240,-95.5
1684569862.7769341,250,-102.9000015258789
1684569863.1334357,260,-99.19999694824219
1684569863.656949,270,-142.3000030517578
1684569863.9795175,280,-91.5999984741211
1684569864.320907,290,-101.0
1684569864.6408057,300,-95.19999694824219
1684569865.0086062,310,-105.5
1684569865.407546,320,-118.80000305175781
1684569865.7965612,330,-114.9000015258789
1684569866.1164668,340,-96.0
1684569866.4603293,350,-103.5999984741211
1684569866.8015046,360,-103.0
1684569867.1618304,370,-108.69999694824219
1684569867.464693,380,-91.9000015258789
1684569867.8436365,390,-114.19999694824219
1684569868.1348999,400,-88.0
1684569868.5107896,410,-112.0999984741211
1684569868.8906755,420,-112.9000015258789
1684569869.279659,430,-116.5999984741211
1684569869.656499,440,-113.4000015258789
1684569870.0073903,450,-104.4000015258789
1684569870.3590581,460,-106.69999694824219
1684569870.6720905,470,-93.69999694824219
1684569870.995927,480,-95.30000305175781
1684569871.3298745,490,-99.0999984741211
1684569871.6241412,500,-88.80000305175781
1684569871.9232516,510,-90.0999984741211
1684569872.3321948,520,-121.9000015258789
1684569872.7033825,530,-111.30000305175781
1684569873.0596168,540,-107.5
1684569873.405239,550,-102.19999694824219
1684569873.8451772,560,-128.3000030517578
1684569874.227115,570,-108.5
1684569874.5273867,580,-88.69999694824219
1684569874.828366,590,-88.19999694824219
1684569875.1296391,600,-91.0999984741211
1684569875.457481,610,-99.19999694824219
1684569875.9604714,620,-152.6999969482422
1684569876.3474047,630,-116.69999694824219
1684569876.7402928,640,-117.30000305175781
1684569877.134583,650,-119.80000305175781
1684569877.4494898,660,-95.0
1684569877.7573264,670,-92.4000015258789
1684569878.2314174,680,-142.6999969482422
1684569878.567722,690,-102.0999984741211
1684569878.910711,700,-102.9000015258789
1684569879.2556427,710,-103.5999984741211
1684569879.6099632,720,-103.69999694824219
1684569880.0169203,730,-122.30000305175781
1684569880.341671,740,-97.80000305175781
1684569880.6719697,750,-99.0999984741211
1684569881.0649035,760,-116.69999694824219
1684569881.3887565,770,-97.5999984741211
1684569881.699727,780,-93.30000305175781
1684569882.0281508,790,-98.5
1684569882.4459593,800,-124.9000015258789
1684569882.7887003,810,-101.69999694824219
1684569883.2378187,820,-132.8000030517578
1684569883.5921392,830,-106.5999984741211
1684569883.919078,840,-97.0999984741211
1684569884.277018,850,-108.0
1684569884.6053154,860,-98.4000015258789
1684569884.9643598,870,-108.0
1684569885.418334,880,-137.6999969482422
1684569885.7381566,890,-96.4000015258789
1684569886.1545331,900,-122.5999984741211
1684569886.4974377,910,-100.5999984741211
1684569886.8475146,920,-103.9000015258789
1684569887.2435732,930,-117.5
1684569887.6839716,940,-129.1999969482422
1684569888.065549,950,-105.9000015258789
1684569888.417519,960,-101.19999694824219
1684569888.7684205,970,-100.5
1684569889.2033887,980,-123.5
1684569889.534688,990,-94.19999694824219
1684569889.9146278,1000,-114.0
