Wall time,Step,Value
1684570470.5636091,10,-85.30000305175781
1684570470.8275177,20,-76.4000015258789
1684570471.0967607,30,-79.30000305175781
1684570471.3645818,40,-79.69999694824219
1684570471.6478393,50,-83.30000305175781
1684570471.9157186,60,-79.0
1684570472.2135794,70,-88.9000015258789
1684570472.4988377,80,-85.30000305175781
1684570472.7916613,90,-87.80000305175781
1684570473.045891,100,-77.0
1684570473.31045,110,-78.30000305175781
1684570473.5927057,120,-84.4000015258789
1684570473.877642,130,-86.5999984741211
1684570474.1448839,140,-81.0999984741211
1684570474.4278123,150,-84.5999984741211
1684570474.6750364,160,-75.0
1684570474.969906,170,-89.19999694824219
1684570475.22781,180,-77.0999984741211
1684570475.5501022,190,-96.69999694824219
1684570475.8068907,200,-76.4000015258789
1684570476.0811386,210,-82.9000015258789
1684570476.3404953,220,-78.19999694824219
1684570476.6030867,230,-77.9000015258789
1684570476.9119651,240,-94.30000305175781
1684570477.1839697,250,-82.4000015258789
1684570477.460757,260,-83.0999984741211
1684570477.7336352,270,-83.19999694824219
1684570478.0128877,280,-83.19999694824219
1684570478.30288,290,-85.9000015258789
1684570478.5869973,300,-85.5
1684570478.8919303,310,-91.9000015258789
1684570479.1794298,320,-85.0999984741211
1684570479.4635897,330,-84.80000305175781
1684570479.7355523,340,-81.30000305175781
1684570480.0057964,350,-81.0
1684570480.2675855,360,-78.69999694824219
1684570480.5588486,370,-87.30000305175781
1684570480.8397677,380,-84.30000305175781
1684570481.123025,390,-84.5
1684570481.4089375,400,-83.80000305175781
1684570481.715794,410,-89.4000015258789
1684570481.989936,420,-83.0999984741211
1684570482.2448199,430,-75.69999694824219
1684570482.5591042,440,-95.19999694824219
1684570482.9149995,450,-107.9000015258789
1684570483.188247,460,-82.80000305175781
1684570483.4591799,470,-81.19999694824219
1684570483.7190955,480,-79.0999984741211
1684570483.9743268,490,-77.0999984741211
1684570484.2903228,500,-95.0999984741211
1684570484.5505588,510,-78.80000305175781
1684570484.8635643,520,-94.5
1684570485.1738439,530,-94.4000015258789
1684570485.4467566,540,-82.80000305175781
1684570485.7340682,550,-84.9000015258789
1684570485.9963055,560,-78.5999984741211
1684570486.2452276,570,-75.5
1684570486.5444992,580,-89.5999984741211
1684570486.8406858,590,-85.5999984741211
1684570487.1199238,600,-82.69999694824219
1684570487.3757064,610,-76.69999694824219
1684570487.6569114,620,-82.9000015258789
1684570488.0559332,630,-120.69999694824219
1684570488.2998593,640,-72.4000015258789
1684570488.7099226,650,-122.0999984741211
1684570488.9811692,660,-80.4000015258789
1684570489.2430983,670,-79.0999984741211
1684570489.5033329,680,-75.0
1684570489.8092866,690,-90.0999984741211
1684570490.0825338,700,-79.80000305175781
1684570490.520339,710,-131.10000610351562
1684570490.7982495,720,-82.4000015258789
1684570491.056483,730,-78.30000305175781
1684570491.3062592,740,-76.19999694824219
1684570491.5765035,750,-82.0999984741211
1684570491.8474274,760,-81.4000015258789
1684570492.1647146,770,-96.9000015258789
1684570492.4195468,780,-76.19999694824219
1684570492.6902654,790,-81.9000015258789
1684570492.9411104,800,-76.0
1684570493.2049122,810,-79.80000305175781
1684570493.4781592,820,-82.9000015258789
1684570493.7761436,830,-88.80000305175781
1684570494.068762,840,-89.0999984741211
1684570494.3457,850,-84.4000015258789
1684570494.6019335,860,-76.5
1684570494.9328802,870,-100.69999694824219
1684570495.2652838,880,-99.9000015258789
1684570495.5355277,890,-78.80000305175781
1684570495.812335,900,-82.80000305175781
1684570496.0935898,910,-85.4000015258789
1684570496.3704963,920,-82.69999694824219
1684570496.633776,930,-79.5999984741211
1684570496.9107006,940,-83.30000305175781
1684570497.207593,950,-89.19999694824219
1684570497.4688292,960,-78.9000015258789
1684570497.7160294,970,-74.4000015258789
1684570497.9752645,980,-77.9000015258789
1684570498.238205,990,-78.9000015258789
1684570498.5214617,1000,-85.5
