Wall time,Step,Value
1684570714.1568732,10,-145.0
1684570714.5818639,20,-128.0
1684570714.9809623,30,-117.4000015258789
1684570715.5595,40,-171.8000030517578
1684570715.9806619,50,-124.0999984741211
1684570716.422741,60,-131.3000030517578
1684570716.9448757,70,-152.0
1684570717.311798,80,-111.9000015258789
1684570717.819898,90,-153.1999969482422
1684570718.2959495,100,-145.1999969482422
1684570718.792974,110,-150.10000610351562
1684570719.2070765,120,-115.0999984741211
1684570719.6044369,130,-121.19999694824219
1684570720.1345618,140,-161.60000610351562
1684570720.58552,150,-137.10000610351562
1684570721.0236087,160,-133.60000610351562
1684570721.3904614,170,-110.19999694824219
1684570721.8225226,180,-126.80000305175781
1684570722.3700037,190,-164.10000610351562
1684570722.8606105,200,-147.60000610351562
1684570723.2892249,210,-129.8000030517578
1684570723.9294846,220,-192.89999389648438
1684570724.4086516,230,-143.1999969482422
1684570724.888821,240,-142.8000030517578
1684570725.347788,250,-135.6999969482422
1684570725.7767398,260,-127.69999694824219
1684570726.2217855,270,-135.5
1684570726.729961,280,-153.10000610351562
1684570727.2191594,290,-149.10000610351562
1684570727.7993507,300,-176.6999969482422
1684570728.3264663,310,-161.10000610351562
1684570728.9466026,320,-189.1999969482422
1684570729.4197195,330,-144.39999389648438
1684570729.9294052,340,-154.8000030517578
1684570730.3613586,350,-129.5
1684570730.876412,360,-154.1999969482422
1684570731.2659507,370,-117.5
1684570732.0332932,380,-228.60000610351562
1684570732.5244067,390,-146.89999389648438
1684570732.9534123,400,-129.1999969482422
1684570733.6255808,410,-203.0
1684570734.1577418,420,-156.8000030517578
1684570734.6158478,430,-139.3000030517578
1684570735.257698,440,-196.39999389648438
1684570735.8178704,450,-171.0
1684570736.3388953,460,-159.0
1684570736.82301,470,-146.39999389648438
1684570737.3831646,480,-171.3000030517578
1684570737.8772051,490,-151.10000610351562
1684570738.2371423,500,-109.69999694824219
1684570738.733328,510,-149.39999389648438
1684570739.3114853,520,-173.39999389648438
1684570739.6777768,530,-109.19999694824219
1684570740.0667999,540,-116.30000305175781
1684570740.468768,550,-119.4000015258789
1684570740.932868,560,-136.10000610351562
1684570741.3869233,570,-135.1999969482422
1684570741.8428216,580,-129.3000030517578
1684570742.41856,590,-168.8000030517578
1684570743.0024552,600,-176.60000610351562
1684570743.4956155,610,-150.10000610351562
1684570743.9903586,620,-150.0
1684570744.4732351,630,-146.39999389648438
1684570745.068713,640,-180.10000610351562
1684570745.4939609,650,-129.10000610351562
1684570745.9764051,660,-144.39999389648438
1684570746.4463212,670,-143.0
1684570746.8586583,680,-124.5
1684570747.2743316,690,-122.5
1684570747.7070518,700,-129.8000030517578
1684570748.269811,710,-170.5
1684570748.8942306,720,-184.60000610351562
1684570749.3192546,730,-126.4000015258789
1684570749.8282661,740,-151.3000030517578
1684570750.2982254,750,-138.0
1684570750.733283,760,-131.6999969482422
1684570751.135637,770,-118.5
1684570751.5236516,780,-116.9000015258789
1684570751.9370139,790,-124.5
1684570752.4393842,800,-150.3000030517578
1684570753.147945,810,-214.8000030517578
1684570753.5929093,820,-135.5
1684570754.0721617,830,-144.10000610351562
1684570754.6613274,840,-175.8000030517578
1684570755.1610436,850,-152.3000030517578
1684570755.6349638,860,-142.5
1684570756.071215,870,-126.19999694824219
1684570756.6421113,880,-169.89999389648438
1684570757.1747775,890,-156.6999969482422
1684570757.6037354,900,-128.8000030517578
1684570758.029134,910,-127.69999694824219
1684570758.5391521,920,-153.3000030517578
1684570759.0739791,930,-158.0
1684570759.614892,940,-160.3000030517578
1684570760.0379171,950,-127.5999984741211
1684570760.5878475,960,-167.5
1684570760.9709163,970,-114.5
1684570761.410929,980,-133.6999969482422
1684570761.89014,990,-144.0
1684570762.345433,1000,-137.3000030517578
