Wall time,Step,Value
1678188756.4149902,10,18.899999618530273
1678188756.6857631,20,57.599998474121094
1678188757.0656455,30,100.5
1678188758.057489,40,333.29998779296875
1678188758.9861455,50,308.1000061035156
1678188759.642285,60,205.39999389648438
1678188760.3244457,70,223.8000030517578
1678188761.4521453,80,391.0
1678188762.7002118,90,438.20001220703125
1678188763.8257835,100,396.70001220703125
1678188765.2186396,110,493.5
1678188766.5059307,120,455.20001220703125
1678188767.8819835,130,487.0
1678188769.2000606,140,469.29998779296875
1678188770.584957,150,500.0
1678188771.8760648,160,457.70001220703125
1678188773.267888,170,500.0
1678188774.6618388,180,497.5
1678188775.955041,190,450.20001220703125
1678188777.352896,200,500.0
1678188778.7542052,210,500.0
1678188780.0720437,220,466.29998779296875
1678188781.3919678,230,456.70001220703125
1678188782.812002,240,500.0
1678188784.2303503,250,500.0
1678188785.5377054,260,467.3999938964844
1678188786.9048302,270,497.70001220703125
1678188788.315201,280,488.20001220703125
1678188789.621756,290,466.3999938964844
1678188791.014742,300,500.0
1678188792.424836,310,500.0
1678188793.8358424,320,500.0
1678188795.2044902,330,500.0
1678188796.6078796,340,500.0
1678188797.8978827,350,459.79998779296875
1678188799.2952695,360,500.0
1678188800.7116811,370,500.0
1678188802.1330996,380,500.0
1678188803.5187938,390,500.0
1678188804.8897905,400,493.29998779296875
1678188806.2797558,410,500.0
1678188807.6729999,420,500.0
1678188809.091456,430,500.0
1678188810.5215683,440,500.0
1678188811.9148412,450,500.0
1678188813.3001602,460,500.0
1678188814.656323,470,477.6000061035156
1678188815.9383392,480,458.29998779296875
1678188817.3456686,490,500.0
1678188818.7625828,500,500.0
1678188820.1519132,510,500.0
1678188821.5465512,520,500.0
1678188822.9438615,530,500.0
1678188824.3422377,540,500.0
1678188825.7453887,550,500.0
1678188827.0348365,560,456.1000061035156
1678188828.4482281,570,500.0
1678188829.8476124,580,500.0
1678188831.230767,590,500.0
1678188832.6787047,600,500.0
1678188834.1202958,610,500.0
1678188835.6535113,620,500.0
1678188837.0749176,630,500.0
1678188838.4597814,640,500.0
1678188839.8196304,650,500.0
1678188841.180995,660,500.0
1678188842.5464535,670,500.0
1678188843.9027562,680,500.0
1678188845.259831,690,500.0
1678188846.6148152,700,500.0
1678188847.9865642,710,500.0
1678188849.3540974,720,500.0
1678188850.7002904,730,500.0
1678188852.0567424,740,500.0
1678188853.400178,750,500.0
1678188854.7332604,760,500.0
1678188856.076184,770,500.0
1678188857.372562,780,478.8999938964844
1678188858.7209215,790,500.0
1678188860.0880768,800,500.0
1678188861.4355822,810,500.0
1678188862.8098004,820,500.0
1678188864.0796728,830,454.20001220703125
1678188865.479223,840,500.0
1678188866.8771553,850,500.0
1678188868.2816944,860,500.0
1678188869.5577137,870,460.6000061035156
1678188870.9235382,880,500.0
1678188872.2729247,890,500.0
1678188873.6313677,900,500.0
1678188875.0060315,910,500.0
1678188876.2645187,920,455.20001220703125
1678188877.6364827,930,500.0
1678188879.014247,940,500.0
1678188880.3898718,950,500.0
1678188881.740086,960,500.0
1678188883.0970323,970,500.0
1678188884.4774184,980,500.0
1678188885.8503335,990,500.0
1678188887.291431,1000,500.0
