Wall time,Step,Value
1656059365.6780858,10,-1535.84716796875
1656059374.167179,20,-1181.14794921875
1656059382.5385206,30,-487.8381652832031
1656059390.901391,40,-186.5049591064453
1656059399.3020236,50,-130.46392822265625
1656059407.6420746,60,-162.2840576171875
1656059415.9390213,70,-344.16357421875
1656059424.325189,80,-541.2073364257812
1656059432.5718741,90,-177.55140686035156
1656059440.8614838,100,-157.99044799804688
1656059449.1497045,110,-204.97396850585938
1656059457.4935315,120,-354.0894470214844
1656059465.7739499,130,-169.4881591796875
1656059474.046689,140,-217.99945068359375
1656059482.3711355,150,-141.2066192626953
1656059490.936939,160,-145.35169982910156
1656059499.7484438,170,-176.33538818359375
1656059508.6146982,180,-242.80966186523438
1656059517.7756505,190,-146.94154357910156
1656059526.5536711,200,-193.13490295410156
1656059535.4162831,210,-124.06600952148438
1656059544.3234396,220,-145.9666748046875
1656059552.6370683,230,-164.7563934326172
1656059560.9603534,240,-145.7349395751953
1656059569.1841455,250,-215.68310546875
1656059577.4367821,260,-176.00921630859375
1656059585.8028831,270,-134.3899383544922
1656059594.059456,280,-243.4698486328125
1656059602.3705397,290,-136.3780059814453
1656059610.675516,300,-119.12640380859375
1656059618.921221,310,-136.5059051513672
1656059627.2393591,320,-157.35206604003906
1656059635.5354688,330,-120.16516876220703
1656059643.7721577,340,-134.764404296875
1656059652.0348191,350,-171.28677368164062
1656059660.3044295,360,-164.61709594726562
1656059668.676708,370,-125.36181640625
1656059677.0134075,380,-216.7963409423828
1656059685.7696486,390,-213.36663818359375
1656059694.4461737,400,-173.51524353027344
1656059703.5486753,410,-125.11109924316406
1656059712.2218518,420,-259.5892333984375
1656059720.9672759,430,-115.76201629638672
1656059730.0063696,440,-149.9570770263672
1656059738.9346917,450,-176.8380126953125
1656059748.0689552,460,-157.09075927734375
1656059757.2030685,470,-128.38482666015625
1656059766.0476496,480,-160.3483428955078
1656059775.7409647,490,-158.99765014648438
1656059784.904456,500,-148.1751251220703
1656059794.2364426,510,-192.12518310546875
1656059803.2174551,520,-159.99462890625
1656059812.0096953,530,-133.21038818359375
1656059820.9655757,540,-224.54588317871094
1656059830.177601,550,-168.97525024414062
1656059839.0495882,560,-197.57518005371094
1656059847.8749285,570,-182.62779235839844
1656059856.39951,580,-152.03477478027344
1656059865.2388177,590,-220.41310119628906
1656059874.4245975,600,-175.75587463378906
1656059883.6561449,610,-162.4283447265625
1656059892.4458032,620,-168.6836700439453
1656059902.4539628,630,-144.36593627929688
1656059913.3265617,640,-260.8683166503906
1656059923.9721844,650,-150.80645751953125
1656059934.4461534,660,-243.28028869628906
1656059944.7900097,670,-205.59278869628906
1656059955.167664,680,-171.58428955078125
1656059965.3133059,690,-262.340576171875
1656059975.568971,700,-287.4866638183594
1656059985.9623556,710,-190.86013793945312
1656059996.7751956,720,-145.18011474609375
1656060007.7246952,730,-156.2223358154297
1656060018.5104365,740,-146.57357788085938
1656060031.743876,750,-178.4084930419922
1656060044.265712,760,-122.82552337646484
1656060056.6383483,770,-125.99403381347656
1656060068.9713678,780,-148.58534240722656
1656060081.3898215,790,-222.16664123535156
1656060094.1715689,800,-181.91860961914062
1656060107.844773,810,-166.664794921875
1656060119.7742715,820,-201.14544677734375
1656060130.6640813,830,-138.49598693847656
1656060141.51914,840,-230.55899047851562
1656060152.2988174,850,-159.34909057617188
1656060163.1216812,860,-184.04278564453125
1656060173.8698413,870,-137.07901000976562
1656060184.8117597,880,-139.427978515625
1656060196.1660645,890,-192.43353271484375
1656060206.4657383,900,-132.43072509765625
1656060215.6521137,910,-137.2588348388672
1656060225.0885818,920,-231.6094207763672
1656060233.8082457,930,-183.78762817382812
1656060242.8272347,940,-108.92938232421875
1656060251.7076893,950,-130.64100646972656
1656060260.52772,960,-134.3875274658203
1656060269.4243999,970,-116.39179992675781
1656060278.5768116,980,-192.88082885742188
1656060287.53105,990,-191.93536376953125
1656060296.3602083,1000,-188.7517852783203
1656060305.021355,1010,-166.54180908203125
1656060313.6672087,1020,-120.38168334960938
1656060322.3718166,1030,-122.88905334472656
1656060331.0098495,1040,-155.9597930908203
1656060339.889976,1050,-268.7220153808594
1656060349.1857014,1060,-236.1256561279297
1656060358.562869,1070,-167.7178192138672
1656060367.7795234,1080,-190.24256896972656
1656060376.7221687,1090,-139.630859375
1656060385.950002,1100,-145.03921508789062
1656060395.3436303,1110,-227.32728576660156
1656060404.4550877,1120,-176.21429443359375
1656060413.5999634,1130,-195.66883850097656
1656060422.2917392,1140,-146.89089965820312
1656060430.9476075,1150,-123.56568145751953
1656060439.6266415,1160,-143.89974975585938
1656060448.3269308,1170,-159.00587463378906
1656060456.9309754,1180,-168.3110809326172
1656060465.6895854,1190,-153.580810546875
1656060474.4639418,1200,-136.68011474609375
1656060483.1890738,1210,-191.76210021972656
1656060491.9315705,1220,-122.42195129394531
1656060500.6439993,1230,-226.94459533691406
1656060509.3795953,1240,-198.720458984375
1656060518.1087065,1250,-179.20204162597656
1656060526.7998002,1260,-145.6996612548828
1656060535.5094151,1270,-129.25466918945312
1656060543.6343048,1280,-113.50077819824219
1656060550.9344213,1290,-178.8794708251953
1656060558.2471838,1300,-134.8320770263672
1656060565.4904532,1310,-166.748046875
1656060572.7520337,1320,-141.66702270507812
1656060580.0132189,1330,-253.13478088378906
1656060587.336966,1340,-147.5073699951172
1656060594.7631497,1350,-170.43247985839844
1656060602.5284874,1360,-135.73501586914062
1656060610.5007355,1370,-172.39686584472656
1656060618.0299168,1380,-139.202392578125
1656060625.8647878,1390,-205.16026306152344
1656060633.6486604,1400,-108.5942611694336
1656060641.4955666,1410,-171.8121337890625
1656060649.3546038,1420,-94.99539947509766
1656060657.1813033,1430,-258.73883056640625
1656060664.816172,1440,-142.79525756835938
1656060672.5285778,1450,-201.05528259277344
1656060680.355642,1460,-158.89755249023438
1656060688.1882238,1470,-142.70574951171875
1656060696.1355867,1480,-207.2393341064453
1656060704.2965615,1490,-179.869140625
1656060712.2004035,1500,-194.61253356933594
1656060719.7938886,1510,-146.03871154785156
1656060727.6464043,1520,-133.6212158203125
1656060735.3251379,1530,-162.36814880371094
1656060742.8900142,1540,-192.5181121826172
1656060750.2983656,1550,-111.23731231689453
1656060757.8730772,1560,-293.79864501953125
1656060765.4893801,1570,-161.38824462890625
1656060773.364991,1580,-190.3490753173828
1656060781.349192,1590,-208.07650756835938
1656060788.891982,1600,-147.98983764648438
1656060796.5275114,1610,-147.12840270996094
1656060804.1126268,1620,-173.3188018798828
1656060811.5897658,1630,-140.1038055419922
1656060819.4023035,1640,-139.62184143066406
1656060827.117036,1650,-122.42205047607422
1656060835.172725,1660,-109.40376281738281
1656060843.1335895,1670,-158.56227111816406
1656060851.0140905,1680,-96.1263427734375
1656060859.4239929,1690,-145.2584228515625
1656060869.2595909,1700,-192.52960205078125
1656060879.789217,1710,-137.068115234375
1656060889.8889203,1720,-175.5820770263672
1656060900.339161,1730,-135.98797607421875
1656060910.708315,1740,-123.43321990966797
1656060920.9666004,1750,-131.1911163330078
1656060931.1779373,1760,-182.6236114501953
1656060941.179908,1770,-138.19900512695312
1656060951.7058613,1780,-155.3544921875
1656060962.1132102,1790,-155.26495361328125
1656060972.6595767,1800,-207.4370574951172
1656060983.208027,1810,-174.044921875
1656060993.6376731,1820,-150.6924591064453
1656061004.0176518,1830,-134.62835693359375
1656061014.5488665,1840,-215.63995361328125
1656061024.7720892,1850,-134.3636016845703
1656061035.230326,1860,-158.73072814941406
1656061045.3691533,1870,-263.9617614746094
1656061053.7680998,1880,-101.10681915283203
1656061061.1876378,1890,-155.14602661132812
1656061068.6447182,1900,-135.21180725097656
1656061076.0984845,1910,-204.57220458984375
1656061083.430061,1920,-122.91532135009766
1656061090.7775624,1930,-152.55947875976562
1656061098.1743932,1940,-114.38671875
1656061105.461133,1950,-133.80715942382812
1656061112.9287975,1960,-145.8665313720703
1656061120.3608935,1970,-125.0254898071289
1656061128.0196838,1980,-194.68307495117188
1656061135.97991,1990,-167.57025146484375
1656061143.323473,2000,-267.8861999511719
