Wall time,Step,Value
1656056909.327813,10,-1525.997802734375
1656056913.0978112,20,-1173.44921875
1656056917.4952931,30,-782.2146606445312
1656056922.6014235,40,-370.4083251953125
1656056929.7744813,50,-285.37347412109375
1656056939.801399,60,-209.9246063232422
1656056950.428851,70,-149.5666961669922
1656056961.2065125,80,-292.2945861816406
1656056971.969932,90,-223.1267547607422
1656056982.0335577,100,-264.63140869140625
1656056992.336601,110,-301.1339111328125
1656057002.840425,120,-186.9348602294922
1656057012.7581468,130,-178.6815185546875
1656057023.326522,140,-218.66925048828125
1656057032.63437,150,-162.84716796875
1656057042.5482798,160,-162.17611694335938
1656057052.349533,170,-322.3861389160156
1656057061.7244775,180,-412.0039978027344
1656057071.1995661,190,-173.3760528564453
1656057080.6564858,200,-215.0057830810547
1656057090.0983334,210,-158.43963623046875
1656057099.4830067,220,-140.27667236328125
1656057108.8126488,230,-202.82022094726562
1656057118.1316795,240,-246.94065856933594
1656057125.649393,250,-225.9245147705078
1656057132.037069,260,-198.42767333984375
1656057138.697999,270,-175.4091339111328
1656057145.1643107,280,-208.36129760742188
1656057151.8217523,290,-461.55621337890625
1656057157.722227,300,-179.83021545410156
1656057162.7072358,310,-139.3794403076172
1656057167.530197,320,-166.48069763183594
1656057172.285927,330,-188.869140625
1656057177.2001717,340,-272.73370361328125
1656057182.2942362,350,-287.4326171875
1656057187.1774592,360,-203.50782775878906
1656057192.0953963,370,-148.1685028076172
1656057197.1914065,380,-240.39675903320312
1656057202.1860878,390,-230.89996337890625
1656057207.0434537,400,-159.78053283691406
1656057212.0541835,410,-199.2225341796875
1656057217.343221,420,-264.75445556640625
1656057222.3668482,430,-112.55689239501953
1656057227.2391255,440,-158.7087860107422
1656057232.1221023,450,-271.6675720214844
1656057236.8777287,460,-159.25991821289062
1656057241.9648466,470,-138.22222900390625
1656057246.9399815,480,-226.390869140625
1656057252.297465,490,-200.4346160888672
1656057257.6277635,500,-233.75523376464844
1656057262.8688488,510,-204.9740753173828
1656057267.8009484,520,-187.4146728515625
1656057272.755182,530,-135.99160766601562
1656057277.4136696,540,-238.47694396972656
1656057282.2990174,550,-159.75201416015625
1656057287.2892146,560,-184.7372283935547
1656057292.2901795,570,-223.3935546875
1656057297.1782062,580,-179.27491760253906
1656057302.3044043,590,-253.94090270996094
1656057307.0904722,600,-181.26829528808594
1656057312.2209685,610,-266.28265380859375
1656057317.3753712,620,-198.0059051513672
1656057322.3579898,630,-160.26499938964844
1656057327.507979,640,-181.0435028076172
1656057332.6223016,650,-196.33642578125
1656057338.2243237,660,-230.84303283691406
