Wall time,Step,Value
1656056915.0187206,10,-1506.598388671875
1656056922.3061538,20,-597.1847534179688
1656056934.0941186,30,-333.2784118652344
1656056948.5488088,40,-279.7224426269531
1656056964.0816894,50,-204.30682373046875
1656056978.9264624,60,-288.7434387207031
1656056993.9305696,70,-213.3712921142578
1656057008.7081325,80,-134.9691925048828
1656057023.3805711,90,-309.8538818359375
1656057037.0220375,100,-287.5811767578125
1656057051.233522,110,-250.39154052734375
1656057064.7339993,120,-373.5290832519531
1656057078.3732088,130,-243.5150146484375
1656057091.9057095,140,-265.0189514160156
1656057105.2901428,150,-165.1673583984375
1656057118.7194922,160,-377.5964050292969
1656057129.2898033,170,-207.58663940429688
1656057138.9342132,180,-303.5796203613281
1656057148.338969,190,-232.119140625
1656057157.7052114,200,-265.5885925292969
1656057165.305129,210,-136.5564422607422
1656057172.5259216,220,-157.6114501953125
1656057180.0418594,230,-197.2831268310547
1656057187.6849256,240,-169.31739807128906
1656057195.428619,250,-237.9001922607422
1656057202.9198523,260,-466.22454833984375
1656057210.4440987,270,-157.68743896484375
1656057218.3658466,280,-183.75732421875
1656057226.0011568,290,-199.08860778808594
1656057233.3852367,300,-121.52869415283203
1656057240.851069,310,-193.07354736328125
1656057248.4305208,320,-197.90841674804688
1656057256.7152107,330,-171.16265869140625
1656057264.6090777,340,-186.81927490234375
1656057271.9989073,350,-208.29733276367188
1656057279.1371684,360,-188.13458251953125
1656057286.704681,370,-136.87525939941406
1656057294.057795,380,-249.73846435546875
1656057301.7232502,390,-223.9897918701172
1656057309.3404863,400,-183.92054748535156
1656057316.9623275,410,-132.73719787597656
1656057324.4350073,420,-292.6643981933594
1656057332.240328,430,-163.77923583984375
1656057340.5691853,440,-182.332763671875
1656057349.0418575,450,-182.34266662597656
1656057357.1950529,460,-158.11532592773438
1656057365.129685,470,-125.0208969116211
1656057373.067379,480,-247.49603271484375
1656057380.733744,490,-158.5048370361328
1656057388.2803028,500,-157.4459686279297
1656057396.2546217,510,-194.54908752441406
1656057404.138342,520,-173.2737579345703
1656057411.8948917,530,-120.17293548583984
