Wall time,Step,Value
1684488921.4082212,10,-500.0
1684488923.440968,20,-446.8999938964844
1684488924.521984,30,-218.39999389648438
1684488925.6734166,40,-246.8000030517578
1684488926.586243,50,-178.6999969482422
1684488927.4598057,60,-192.1999969482422
1684488928.3122609,70,-182.8000030517578
1684488929.1515853,80,-167.3000030517578
1684488930.076132,90,-188.5
1684488930.9298577,100,-173.1999969482422
1684488931.6959274,110,-156.0
1684488932.3130097,120,-123.9000015258789
1684488933.0001624,130,-135.10000610351562
1684488933.7169757,140,-135.60000610351562
1684488934.377151,150,-128.1999969482422
1684488934.9652777,160,-118.30000305175781
1684488935.4583652,170,-92.80000305175781
1684488936.0711882,180,-124.9000015258789
1684488936.6177604,190,-104.5
1684488937.1939857,200,-111.19999694824219
1684488937.8103454,210,-114.19999694824219
1684488938.3339002,220,-95.30000305175781
1684488938.864279,230,-90.80000305175781
1684488939.3917525,240,-94.30000305175781
1684488939.9129155,250,-83.69999694824219
1684488940.4767408,260,-102.0
1684488940.9810085,270,-88.5999984741211
1684488941.5336869,280,-86.30000305175781
1684488942.019699,290,-82.4000015258789
1684488942.5173478,300,-95.0
1684488942.990325,310,-88.69999694824219
1684488943.4365075,320,-83.30000305175781
1684488943.913559,330,-92.80000305175781
1684488944.446582,340,-94.5
1684488945.0217757,350,-106.0
1684488945.5532296,360,-97.19999694824219
1684488946.1289504,370,-101.0999984741211
1684488946.6944637,380,-87.9000015258789
1684488947.1913378,390,-77.9000015258789
1684488947.7075899,400,-81.0
1684488948.3009424,410,-96.80000305175781
1684488948.8228042,420,-83.69999694824219
1684488949.3538492,430,-92.5999984741211
1684488949.8630307,440,-82.0999984741211
1684488950.3902245,450,-84.9000015258789
1684488950.9211621,460,-85.30000305175781
1684488951.4702387,470,-89.0
1684488951.9835868,480,-82.30000305175781
1684488952.5648286,490,-100.80000305175781
1684488953.1590922,500,-103.5
