Wall time,Step,Value
1684491735.5350304,10,-499.20001220703125
1684491737.5026026,20,-467.0
1684491739.5722477,30,-500.0
1684491740.8871324,40,-298.79998779296875
1684491741.9466732,50,-238.8000030517578
1684491742.9983747,60,-230.10000610351562
1684491743.84424,70,-178.6999969482422
1684491744.628706,80,-163.6999969482422
1684491745.4000788,90,-163.39999389648438
1684491746.0932715,100,-143.0
1684491746.6638427,110,-110.4000015258789
1684491747.2664623,120,-120.19999694824219
1684491747.773364,130,-96.30000305175781
1684491748.31393,140,-106.80000305175781
1684491748.8358421,150,-101.9000015258789
1684491749.4162145,160,-116.4000015258789
1684491749.949385,170,-100.0999984741211
1684491750.470458,180,-101.19999694824219
1684491750.9704792,190,-93.69999694824219
1684491751.4855378,200,-96.5999984741211
1684491751.9820993,210,-92.9000015258789
1684491752.4907513,220,-93.0
1684491753.052831,230,-108.0999984741211
1684491753.5643892,240,-95.5999984741211
1684491754.1952586,250,-98.80000305175781
1684491754.7946289,260,-100.5999984741211
1684491755.3131926,270,-94.4000015258789
1684491755.9664679,280,-131.60000610351562
1684491756.491912,290,-98.69999694824219
1684491756.959423,300,-84.9000015258789
1684491757.488466,310,-99.4000015258789
1684491758.030044,320,-101.0999984741211
1684491758.47766,330,-80.5999984741211
1684491759.0301023,340,-105.19999694824219
1684491759.5205286,350,-90.0
1684491760.0006852,360,-86.5
1684491760.504302,370,-96.5999984741211
1684491760.9692912,380,-87.5999984741211
1684491761.4063833,390,-77.69999694824219
1684491761.86106,400,-82.4000015258789
1684491762.3408582,410,-89.19999694824219
1684491762.821993,420,-92.80000305175781
1684491763.3175442,430,-98.0
1684491763.764031,440,-85.0999984741211
1684491764.2064333,450,-81.5
1684491764.6876924,460,-93.0
1684491765.134795,470,-83.4000015258789
1684491765.6028488,480,-88.30000305175781
1684491766.0699768,490,-85.5
1684491766.5267844,500,-81.9000015258789
