Wall time,Step,Value
1678200343.326568,10,-500.0
1678200345.4616647,20,-468.79998779296875
1678200347.4416482,30,-428.8999938964844
1678200349.1607282,40,-353.79998779296875
1678200350.5566947,50,-278.1000061035156
1678200352.4912426,60,-414.79998779296875
1678200354.153038,70,-356.3999938964844
1678200355.661214,80,-318.0
1678200357.3722014,90,-348.8999938964844
1678200359.1039436,100,-375.6000061035156
1678200360.731586,110,-341.29998779296875
1678200362.2085433,120,-308.6000061035156
1678200363.6768978,130,-313.6000061035156
1678200365.2872474,140,-267.3999938964844
1678200366.6200907,150,-260.1000061035156
1678200368.0830054,160,-290.5
1678200369.4478745,170,-282.5
1678200370.7540388,180,-271.20001220703125
1678200371.9392028,190,-246.1999969482422
1678200373.2094195,200,-263.70001220703125
1678200374.3294919,210,-234.3000030517578
1678200375.596232,220,-271.6000061035156
1678200376.7388785,230,-235.1999969482422
1678200377.9666114,240,-257.1000061035156
1678200378.8975284,250,-182.10000610351562
1678200379.9335268,260,-220.0
1678200380.9735615,270,-212.89999389648438
1678200381.8805895,280,-170.3000030517578
1678200382.9366262,290,-213.6999969482422
1678200383.8791342,300,-192.0
1678200384.8667006,310,-195.0
1678200385.8160303,320,-190.1999969482422
1678200386.6398845,330,-157.60000610351562
1678200387.5007598,340,-169.60000610351562
1678200388.3450623,350,-165.3000030517578
1678200389.1909068,360,-164.39999389648438
1678200390.041742,370,-167.0
1678200390.901581,380,-168.10000610351562
1678200391.7313938,390,-159.1999969482422
1678200392.4681191,400,-139.39999389648438
1678200393.211909,410,-140.1999969482422
1678200393.9837213,420,-145.39999389648438
1678200394.8530025,430,-169.5
1678200395.67128,440,-154.5
1678200396.412502,450,-140.39999389648438
1678200397.2563303,460,-165.0
1678200398.0246315,470,-142.60000610351562
1678200398.7863832,480,-141.89999389648438
1678200399.6971061,490,-178.3000030517578
1678200400.5771556,500,-174.1999969482422
