Wall time,Step,Value
1684500578.0117013,10,-467.79998779296875
1684500579.7519555,20,-394.3999938964844
1684500581.7488043,30,-441.8999938964844
1684500582.9327855,40,-245.39999389648438
1684500584.7038083,50,-381.1000061035156
1684500586.3832207,60,-361.0
1684500587.5169628,70,-233.60000610351562
1684500588.2247615,80,-134.89999389648438
1684500588.961992,90,-141.3000030517578
1684500589.4756958,100,-89.4000015258789
1684500590.0309293,110,-97.0
1684500590.6511705,120,-112.5
1684500591.2252681,130,-102.0
1684500591.7586124,140,-93.5999984741211
1684500592.276723,150,-89.5
1684500592.8058236,160,-92.9000015258789
1684500593.3112357,170,-86.9000015258789
1684500593.800384,180,-83.30000305175781
1684500594.2750924,190,-79.30000305175781
1684500594.7871506,200,-87.5
1684500595.3918908,210,-109.69999694824219
1684500595.8961337,220,-87.30000305175781
1684500596.3716936,230,-80.4000015258789
1684500596.9419982,240,-101.4000015258789
1684500597.4236076,250,-81.19999694824219
1684500597.9469783,260,-93.69999694824219
1684500598.4538302,270,-85.30000305175781
1684500598.9640114,280,-88.69999694824219
1684500599.4472399,290,-81.4000015258789
1684500599.9993198,300,-96.5999984741211
1684500600.502506,310,-85.9000015258789
1684500600.9887612,320,-79.19999694824219
1684500601.473313,330,-80.0
1684500601.9762769,340,-82.19999694824219
1684500602.556389,350,-94.0
1684500603.0926166,360,-87.4000015258789
1684500603.6139026,370,-86.80000305175781
1684500604.1137366,380,-83.9000015258789
1684500604.639853,390,-89.80000305175781
1684500605.1359286,400,-83.0
1684500605.7002347,410,-98.0
1684500606.2645166,420,-99.69999694824219
1684500606.853052,430,-104.5
1684500607.487937,440,-110.5
1684500608.0571918,450,-91.30000305175781
1684500608.5832562,460,-83.69999694824219
1684500609.1341276,470,-89.19999694824219
1684500609.6857524,480,-96.0
1684500610.2433186,490,-101.5
1684500611.0471168,500,-150.0
