Wall time,Step,Value
1684502001.0151496,10,-423.6000061035156
1684502002.9496553,20,-458.20001220703125
1684502004.9473977,30,-482.79998779296875
1684502006.4883459,40,-353.29998779296875
1684502007.4675908,50,-219.0
1684502008.0577912,60,-121.0999984741211
1684502008.6425204,70,-113.5
1684502009.1925912,80,-106.0
1684502009.6977153,90,-93.30000305175781
1684502010.2009914,100,-93.69999694824219
1684502010.7240887,110,-98.80000305175781
1684502011.2846878,120,-110.0999984741211
1684502011.7382386,130,-86.0999984741211
1684502012.2383769,140,-96.0999984741211
1684502012.7832725,150,-106.9000015258789
1684502013.2843275,160,-94.80000305175781
1684502013.9991748,170,-149.10000610351562
1684502014.5497055,180,-106.5999984741211
1684502015.04761,190,-94.5
1684502015.5612934,200,-98.9000015258789
1684502016.1676555,210,-120.5
1684502016.6476433,220,-92.9000015258789
1684502017.2795296,230,-128.1999969482422
1684502017.7721217,240,-93.69999694824219
1684502018.2731638,250,-92.0
1684502018.7553308,260,-90.9000015258789
1684502019.2335277,270,-87.69999694824219
1684502019.6825187,280,-82.5999984741211
1684502020.2174184,290,-101.80000305175781
1684502020.762575,300,-108.80000305175781
1684502021.2476535,310,-90.0
1684502021.7487574,320,-97.5
1684502022.1872082,330,-77.30000305175781
1684502022.6462767,340,-84.9000015258789
1684502023.1298416,350,-89.80000305175781
1684502023.634051,360,-96.69999694824219
1684502024.126143,370,-95.19999694824219
1684502024.6242309,380,-92.30000305175781
1684502025.1225786,390,-94.19999694824219
1684502025.6611998,400,-100.80000305175781
1684502026.2047591,410,-105.0
1684502026.7183652,420,-97.0999984741211
1684502027.1837878,430,-85.0
1684502027.631772,440,-84.19999694824219
1684502028.1117544,450,-92.5999984741211
1684502028.6007507,460,-95.30000305175781
1684502029.071838,470,-88.30000305175781
1684502029.517051,480,-82.69999694824219
1684502029.9680269,490,-81.5
1684502030.445546,500,-89.5
