Wall time,Step,Value
1684506759.640483,10,-489.8999938964844
1684506761.6795416,20,-500.0
1684506763.7177262,30,-500.0
1684506765.7756314,40,-500.0
1684506767.742532,50,-478.29998779296875
1684506769.1498797,60,-338.1000061035156
1684506770.0650377,70,-198.5
1684506771.1304212,80,-240.39999389648438
1684506772.5086033,90,-328.29998779296875
1684506773.2203214,100,-151.10000610351562
1684506773.7419987,110,-103.5999984741211
1684506774.375107,120,-128.5
1684506775.2067122,130,-184.0
1684506775.8600311,140,-139.39999389648438
1684506776.4179537,150,-115.0999984741211
1684506776.9479625,160,-104.4000015258789
1684506777.4440649,170,-96.5999984741211
1684506777.9636097,180,-100.5
1684506778.5131316,190,-104.19999694824219
1684506779.0496495,200,-102.30000305175781
1684506779.5558333,210,-98.5
1684506780.074942,220,-101.0
1684506780.7403972,230,-135.8000030517578
1684506781.3785117,240,-131.60000610351562
1684506781.940737,250,-113.0999984741211
1684506782.4864676,260,-105.19999694824219
1684506783.0725677,270,-119.4000015258789
1684506783.996564,280,-200.0
1684506784.6919882,290,-151.60000610351562
1684506785.3513007,300,-135.8000030517578
1684506786.170245,310,-179.0
1684506787.167257,320,-220.6999969482422
1684506787.871861,330,-149.39999389648438
1684506788.5289779,340,-136.1999969482422
1684506789.3333435,350,-168.8000030517578
1684506789.8234143,360,-94.0999984741211
1684506790.2713742,370,-83.19999694824219
1684506790.7212296,380,-82.5
1684506791.158113,390,-78.19999694824219
1684506791.7652104,400,-122.80000305175781
1684506792.1992638,410,-79.30000305175781
1684506792.6353035,420,-79.69999694824219
1684506793.0698433,430,-80.9000015258789
1684506793.526788,440,-82.19999694824219
1684506793.9297311,450,-72.5999984741211
1684506794.3674214,460,-81.5
1684506794.8518355,470,-87.19999694824219
1684506795.4749453,480,-110.69999694824219
1684506796.0636446,490,-88.30000305175781
1684506796.7009525,500,-108.30000305175781
