Wall time,Step,Value
1656060867.3656726,10,-1521.1943359375
1656060868.2360413,20,-1349.7442626953125
1656060869.1037085,30,-1538.9541015625
1656060869.9894574,40,-1396.313232421875
1656060870.876878,50,-1373.3604736328125
1656060871.7592025,60,-1271.4495849609375
1656060872.6444287,70,-1264.2333984375
1656060873.5236566,80,-1169.438232421875
1656060874.4106882,90,-1249.2376708984375
1656060875.287241,100,-1280.0013427734375
1656060876.173552,110,-1377.3212890625
1656060877.061601,120,-1195.13232421875
1656060877.9440417,130,-1202.9302978515625
1656060878.8353193,140,-1167.6275634765625
1656060879.7161503,150,-1097.7264404296875
1656060880.5962262,160,-1006.0150146484375
1656060881.4383729,170,-1134.7144775390625
1656060882.3073397,180,-1119.62939453125
1656060883.1386936,190,-1044.8516845703125
1656060883.979695,200,-1150.113525390625
1656060884.8427444,210,-978.7933349609375
1656060885.724913,220,-1045.0948486328125
1656060886.6069899,230,-1002.5055541992188
1656060887.496136,240,-952.1124877929688
1656060888.3601139,250,-1071.6656494140625
1656060889.206483,260,-921.3556518554688
1656060890.062078,270,-913.4578857421875
1656060890.950583,280,-909.4527587890625
1656060891.7875354,290,-790.980224609375
1656060892.6566918,300,-864.5264282226562
1656060893.537895,310,-794.5987548828125
1656060894.4200528,320,-762.6039428710938
1656060895.3009012,330,-754.6978759765625
1656060896.186062,340,-792.88720703125
1656060897.0715086,350,-841.879638671875
1656060897.893674,360,-855.4118041992188
1656060898.7788613,370,-700.0247802734375
1656060899.6541462,380,-872.7687377929688
1656060900.5413451,390,-806.2112426757812
1656060901.4204407,400,-825.7613525390625
1656060902.3053777,410,-619.965576171875
1656060903.1902528,420,-723.8179321289062
1656060904.0615888,430,-870.9371948242188
1656060904.9459705,440,-824.11376953125
1656060905.8320448,450,-744.0122680664062
1656060906.7242446,460,-605.8482055664062
1656060907.605203,470,-597.57861328125
1656060908.4852922,480,-695.1825561523438
1656060909.3227687,490,-639.9932861328125
1656060910.166126,500,-583.6561279296875
1656060911.04362,510,-799.35791015625
1656060911.924822,520,-619.6940307617188
1656060912.81346,530,-774.4672241210938
1656060913.7057676,540,-743.781982421875
1656060914.5877624,550,-797.4824829101562
1656060915.4590092,560,-801.5260009765625
1656060916.305351,570,-637.733154296875
1656060917.1583447,580,-607.1763916015625
1656060918.0438533,590,-606.63720703125
1656060918.9197643,600,-565.4989013671875
1656060919.7909253,610,-500.0936584472656
1656060920.6523147,620,-816.2366333007812
1656060921.5226643,630,-540.119384765625
1656060922.4019508,640,-326.62396240234375
1656060923.2663856,650,-485.42376708984375
1656060924.1529477,660,-616.6698608398438
1656060925.0175834,670,-601.0179443359375
1656060925.8708434,680,-471.1497802734375
1656060926.7118251,690,-310.002685546875
1656060927.566772,700,-768.6809692382812
1656060928.4070282,710,-638.0963745117188
1656060929.2695327,720,-380.9223937988281
1656060930.1517026,730,-618.6743774414062
1656060931.030192,740,-341.36175537109375
1656060931.9071817,750,-361.0685729980469
1656060932.7462418,760,-355.47283935546875
1656060933.590292,770,-447.16522216796875
1656060934.4362764,780,-347.0152282714844
1656060935.2816534,790,-488.5244445800781
1656060936.13671,800,-414.8816833496094
1656060937.0120804,810,-461.2110900878906
1656060937.8579245,820,-491.71600341796875
1656060938.7119079,830,-329.2560729980469
1656060939.558446,840,-532.8992919921875
1656060940.4365141,850,-849.984619140625
1656060941.3229275,860,-562.0780639648438
1656060942.1987593,870,-375.1404724121094
1656060943.0813556,880,-298.0166320800781
1656060943.9684823,890,-480.4371643066406
1656060944.8363853,900,-405.3272399902344
1656060945.7134151,910,-241.1123046875
1656060946.5944428,920,-453.79827880859375
1656060947.4534726,930,-500.6781921386719
1656060948.3225782,940,-374.08251953125
1656060949.2030458,950,-375.1241760253906
1656060950.0866597,960,-430.2352294921875
1656060950.9639935,970,-228.6529998779297
1656060951.8449879,980,-431.2642517089844
1656060952.7237875,990,-491.6782531738281
1656060953.5964446,1000,-343.7770080566406
1656060954.4737186,1010,-317.6961975097656
1656060955.3477957,1020,-445.33538818359375
1656060956.2136383,1030,-285.9302673339844
1656060957.08707,1040,-252.53883361816406
1656060957.9511902,1050,-298.5915222167969
1656060958.8274207,1060,-429.794921875
1656060959.704566,1070,-273.0884704589844
1656060960.5825753,1080,-280.1878662109375
1656060961.433592,1090,-315.7376403808594
1656060962.3010433,1100,-337.1158447265625
1656060963.1910834,1110,-494.2725524902344
1656060964.0696142,1120,-468.0574035644531
1656060964.9446898,1130,-582.9837646484375
1656060965.8207037,1140,-371.4885559082031
1656060966.6998558,1150,-350.5797119140625
1656060967.589931,1160,-390.5862731933594
1656060968.4631758,1170,-439.5447692871094
1656060969.3409562,1180,-339.54083251953125
1656060970.2184856,1190,-355.0827331542969
1656060971.0980546,1200,-361.72344970703125
1656060971.9819896,1210,-276.3887634277344
1656060972.8727708,1220,-307.7827453613281
1656060973.7581956,1230,-325.15606689453125
