Wall time,Step,Value
1684416189.6525178,10,-1535.84716796875
1684416198.58139,20,-1181.14794921875
1684416206.7319107,30,-487.8381652832031
1684416214.9250097,40,-186.5049591064453
1684416223.0248208,50,-130.46392822265625
1684416232.3357043,60,-162.2840576171875
1684416240.6143408,70,-344.16357421875
1684416249.0064425,80,-541.2073364257812
1684416257.2646205,90,-177.55140686035156
1684416265.292295,100,-157.99044799804688
1684416273.3977394,110,-204.97396850585938
1684416281.48568,120,-354.0894470214844
1684416289.7066584,130,-169.4881591796875
1684416298.026623,140,-217.99945068359375
1684416306.836253,150,-141.2066192626953
1684416315.6850061,160,-145.35169982910156
1684416322.7513723,170,-176.33538818359375
1684416330.2126613,180,-242.80966186523438
1684416338.4299936,190,-146.94154357910156
1684416347.3584266,200,-193.13490295410156
1684416355.810373,210,-124.06600952148438
1684416364.4898887,220,-145.9666748046875
1684416372.6798296,230,-164.7563934326172
1684416380.8601503,240,-145.7349395751953
1684416389.0748544,250,-215.68310546875
1684416397.874755,260,-176.00921630859375
1684416406.9931607,270,-134.3899383544922
1684416415.6977065,280,-243.4698486328125
1684416424.535747,290,-136.3780059814453
1684416432.8816054,300,-119.12640380859375
1684416441.3210182,310,-136.5059051513672
1684416450.2896655,320,-157.35206604003906
1684416459.1099238,330,-120.16516876220703
1684416467.477134,340,-134.764404296875
1684416476.0325682,350,-171.28677368164062
1684416484.451384,360,-164.61709594726562
1684416493.4310172,370,-125.36181640625
1684416502.7197168,380,-216.7963409423828
1684416511.5546455,390,-213.36663818359375
1684416520.0633736,400,-173.51524353027344
1684416528.342133,410,-125.11109924316406
1684416536.6574314,420,-259.5892333984375
1684416545.082232,430,-115.76201629638672
1684416553.4519563,440,-149.9570770263672
1684416561.8747737,450,-176.8380126953125
1684416570.3105555,460,-157.09075927734375
1684416578.6142144,470,-128.38482666015625
1684416587.0781934,480,-160.3483428955078
1684416594.63797,490,-158.99765014648438
1684416602.1885622,500,-148.1751251220703
1684416609.7394624,510,-192.12518310546875
1684416616.8179119,520,-159.99462890625
1684416623.814732,530,-133.21038818359375
1684416631.010523,540,-224.54588317871094
1684416638.5192873,550,-168.97525024414062
1684416645.9451327,560,-197.57518005371094
1684416653.3479092,570,-182.62779235839844
1684416662.6312277,580,-152.03477478027344
1684416672.159029,590,-220.41310119628906
1684416681.0547497,600,-175.75587463378906
1684416689.4387555,610,-162.4283447265625
1684416697.7926574,620,-168.6836700439453
1684416705.49707,630,-144.36593627929688
1684416712.8749254,640,-260.8683166503906
1684416720.1729221,650,-150.80645751953125
1684416728.1817832,660,-243.28028869628906
1684416737.2508821,670,-205.59278869628906
1684416745.8265164,680,-171.58428955078125
1684416754.394907,690,-262.340576171875
1684416762.9346447,700,-287.4866638183594
1684416771.5003288,710,-190.86013793945312
1684416779.7551394,720,-145.18011474609375
1684416787.3194034,730,-156.2223358154297
1684416794.681998,740,-146.57357788085938
1684416802.4797168,750,-178.4084930419922
1684416810.0744693,760,-122.82552337646484
1684416817.9739046,770,-125.99403381347656
1684416825.9755247,780,-148.58534240722656
1684416835.0869803,790,-222.16664123535156
1684416843.7802138,800,-181.91860961914062
1684416852.609517,810,-166.664794921875
1684416861.146857,820,-201.14544677734375
1684416869.5645497,830,-138.49598693847656
1684416877.9679763,840,-230.55899047851562
1684416886.530256,850,-159.34909057617188
1684416894.911282,860,-184.04278564453125
1684416904.4297974,870,-137.07901000976562
1684416912.9960265,880,-139.427978515625
1684416921.702533,890,-192.43353271484375
1684416930.4727604,900,-132.43072509765625
1684416938.7756622,910,-137.2588348388672
1684416947.1558552,920,-231.6094207763672
1684416955.5336542,930,-183.78762817382812
1684416963.989459,940,-108.92938232421875
1684416972.4015038,950,-130.64100646972656
1684416980.8577838,960,-134.3875274658203
1684416989.351883,970,-116.39179992675781
1684416997.83022,980,-192.88082885742188
1684417006.3083498,990,-191.93536376953125
1684417014.812395,1000,-188.7517852783203
