Wall time,Step,Value
1684465605.481223,10,-1482.8695068359375
1684465612.5540621,20,-1274.0799560546875
1684465619.473234,30,-1328.490234375
1684465626.430741,40,-862.9334106445312
1684465633.4868922,50,-728.0279541015625
1684465640.5049944,60,-371.6238708496094
1684465647.4344459,70,-226.675048828125
1684465654.4776993,80,-133.9228973388672
1684465661.633024,90,-189.9596405029297
1684465668.568912,100,-177.3988800048828
1684465675.4725072,110,-275.99005126953125
1684465682.2987638,120,-187.25645446777344
1684465689.2675622,130,-248.4091033935547
1684465696.2768657,140,-469.33050537109375
1684465703.3164344,150,-367.45794677734375
1684465710.7030497,160,-276.2762756347656
1684465718.3813987,170,-351.9874572753906
1684465725.5759723,180,-371.2717590332031
1684465732.569094,190,-282.8270263671875
1684465739.5355167,200,-365.57269287109375
1684465746.390013,210,-188.8641357421875
1684465753.3447304,220,-158.79598999023438
1684465760.2147896,230,-182.8199005126953
1684465767.0961506,240,-235.84146118164062
1684465773.9532063,250,-259.4610900878906
1684465780.9671402,260,-304.3388671875
1684465787.9112484,270,-356.7506408691406
1684465794.837217,280,-303.24200439453125
1684465801.7890573,290,-175.3374786376953
1684465808.6682544,300,-157.3390655517578
1684465815.5958312,310,-163.1161346435547
1684465822.5343163,320,-176.09776306152344
1684465829.4208026,330,-154.132080078125
1684465836.3177466,340,-207.43161010742188
1684465843.2167165,350,-242.3728485107422
1684465850.1420913,360,-253.4364776611328
1684465857.1509902,370,-291.5930480957031
1684465864.143018,380,-399.59405517578125
1684465871.719318,390,-341.505126953125
1684465878.71233,400,-167.68911743164062
1684465885.6527169,410,-133.27166748046875
1684465892.3611927,420,-196.8170623779297
1684465899.1184943,430,-130.66342163085938
1684465906.6046274,440,-161.23121643066406
1684465913.9212892,450,-208.18280029296875
1684465921.0550113,460,-143.68359375
1684465927.8113189,470,-133.9128875732422
1684465934.6499038,480,-192.83193969726562
1684465941.7000246,490,-181.7915496826172
1684465948.5702584,500,-160.2586212158203
1684465955.4130957,510,-194.03195190429688
1684465962.2656083,520,-174.177001953125
1684465969.1047733,530,-162.9953155517578
1684465975.9633605,540,-207.90452575683594
1684465982.893378,550,-160.87474060058594
1684465989.7263649,560,-202.14906311035156
1684465996.5925894,570,-161.41612243652344
1684466003.5169554,580,-154.31129455566406
1684466010.4160028,590,-222.9322967529297
1684466017.3937418,600,-211.79208374023438
1684466024.270557,610,-157.49676513671875
1684466031.1982396,620,-154.37925720214844
1684466038.1266708,630,-144.12435913085938
1684466045.103935,640,-108.18392944335938
1684466052.3261266,650,-157.62767028808594
1684466059.5833714,660,-233.12896728515625
1684466067.0047967,670,-250.15692138671875
1684466074.262244,680,-208.38914489746094
1684466081.6273031,690,-173.37969970703125
1684466088.7473383,700,-194.14292907714844
1684466095.8671834,710,-217.02064514160156
1684466103.0962017,720,-165.72518920898438
1684466110.1109736,730,-190.405517578125
1684466117.3068514,740,-143.81834411621094
1684466124.4228065,750,-158.5625
1684466131.732927,760,-120.54169464111328
1684466139.21184,770,-575.0994262695312
1684466146.3188896,780,-642.2997436523438
1684466153.3775873,790,-224.4824676513672
1684466160.5259118,800,-221.17591857910156
1684466167.5307417,810,-208.29991149902344
1684466175.0289602,820,-242.6046142578125
1684466182.5020719,830,-155.59613037109375
1684466191.0518687,840,-185.48313903808594
1684466198.708326,850,-178.18824768066406
1684466206.4942834,860,-214.8642120361328
1684466214.1098256,870,-158.5408477783203
1684466221.560101,880,-149.42726135253906
1684466228.9987671,890,-245.69483947753906
1684466236.7869024,900,-144.71987915039062
1684466244.3084798,910,-138.4016876220703
1684466251.9071498,920,-188.30564880371094
1684466259.5148168,930,-323.35284423828125
1684466268.005337,940,-128.7244110107422
1684466275.828245,950,-143.70541381835938
1684466283.3965874,960,-157.56373596191406
1684466291.0131772,970,-161.5284881591797
1684466298.4843197,980,-301.04266357421875
1684466305.9572556,990,-296.9500732421875
1684466314.306006,1000,-380.0521240234375
