Wall time,Step,Value
1684419882.091772,10,-1537.8272705078125
1684419889.6337438,20,-1403.486083984375
1684419896.5324266,30,-1200.977783203125
1684419903.1870224,40,-1079.9405517578125
1684419909.804055,50,-900.48046875
1684419916.5223415,60,-885.5806274414062
1684419923.448075,70,-720.9815673828125
1684419930.3484309,80,-618.9215087890625
1684419937.3985543,90,-703.4766235351562
1684419944.3764436,100,-586.4632568359375
1684419951.6786988,110,-642.5257568359375
1684419958.5474298,120,-464.124755859375
1684419965.6748245,130,-542.387939453125
1684419973.172552,140,-475.61370849609375
1684419980.084773,150,-197.32972717285156
1684419987.3520825,160,-177.23040771484375
1684419994.1063814,170,-199.20677185058594
1684420001.1003244,180,-288.7038269042969
1684420008.2077832,190,-174.24465942382812
1684420014.9990828,200,-237.748046875
1684420021.8472922,210,-143.3419952392578
1684420029.177966,220,-302.4402160644531
1684420036.0207493,230,-306.49420166015625
1684420042.9360118,240,-230.24879455566406
1684420049.6897645,250,-309.7383728027344
1684420056.32699,260,-240.95758056640625
1684420063.2046325,270,-182.5998077392578
1684420070.0822911,280,-188.15158081054688
1684420076.895613,290,-281.1900634765625
1684420083.7918656,300,-176.34814453125
1684420090.8115652,310,-163.84353637695312
1684420098.2579877,320,-175.28460693359375
1684420105.5253334,330,-177.67877197265625
1684420112.703551,340,-303.7226867675781
1684420119.7021892,350,-231.47805786132812
1684420127.360654,360,-198.7972869873047
1684420136.197781,370,-289.0939636230469
1684420144.2249222,380,-273.4672546386719
1684420153.132,390,-317.0374450683594
1684420161.1838863,400,-422.54150390625
1684420168.9559681,410,-305.70068359375
1684420176.6128051,420,-386.05816650390625
1684420184.2893922,430,-267.27984619140625
1684420191.9988413,440,-496.37115478515625
1684420199.6392517,450,-320.57830810546875
1684420207.328505,460,-305.6217041015625
1684420215.0295007,470,-267.57025146484375
1684420222.8281674,480,-372.6642150878906
1684420230.5724642,490,-325.9483642578125
1684420240.5732973,500,-510.6504821777344
1684420248.5793636,510,-545.2881469726562
1684420257.4145467,520,-444.9347229003906
1684420265.9229484,530,-415.4166259765625
1684420274.2720942,540,-314.1917724609375
1684420287.1742344,550,-228.16925048828125
1684420299.594471,560,-261.7828674316406
1684420312.0462549,570,-344.94427490234375
1684420322.5534477,580,-253.0172882080078
1684420332.5915134,590,-381.2987976074219
1684420342.088488,600,-260.9876403808594
1684420351.6131203,610,-243.27288818359375
1684420365.313118,620,-439.1876220703125
1684420381.6254554,630,-387.3165283203125
1684420394.6708786,640,-319.8395080566406
1684420407.148869,650,-350.5827331542969
1684420420.257776,660,-411.83306884765625
1684420433.612107,670,-324.359375
1684420447.2257848,680,-215.00146484375
1684420460.4070575,690,-138.8635711669922
1684420473.6585217,700,-183.9846649169922
1684420486.9420729,710,-235.63075256347656
1684420500.137714,720,-190.78109741210938
1684420513.3450577,730,-205.1045379638672
1684420526.236914,740,-155.69937133789062
1684420538.7032511,750,-173.8612060546875
1684420551.2937052,760,-140.90245056152344
1684420563.6137474,770,-136.85968017578125
1684420576.1242254,780,-156.39659118652344
1684420588.1848483,790,-277.35430908203125
1684420600.605365,800,-186.7793426513672
1684420612.3812933,810,-192.51632690429688
1684420623.59048,820,-274.2135925292969
1684420635.2240462,830,-184.32550048828125
1684420647.4433208,840,-288.7938232421875
1684420660.043515,850,-324.1820068359375
1684420672.8779728,860,-346.718994140625
1684420684.7386475,870,-303.9313659667969
1684420696.5029604,880,-142.68359375
1684420709.255615,890,-203.669189453125
1684420721.562905,900,-169.79896545410156
1684420729.9488535,910,-143.95700073242188
1684420738.9764614,920,-220.2908172607422
1684420747.7314675,930,-305.418701171875
1684420757.5404112,940,-129.0418243408203
1684420767.3117266,950,-140.67771911621094
1684420776.8291924,960,-154.630859375
1684420786.3110213,970,-133.08302307128906
1684420795.8300827,980,-182.50527954101562
1684420807.908588,990,-301.7961730957031
1684420823.6598268,1000,-231.5007781982422
