Wall time,Step,Value
1671333315.6002474,10,-1521.1943359375
1671333316.3003032,20,-1349.7442626953125
1671333316.99723,30,-1538.9541015625
1671333317.6828532,40,-1396.313232421875
1671333318.3716881,50,-1373.3604736328125
1671333319.0905886,60,-1271.4495849609375
1671333319.8019648,70,-1264.2333984375
1671333320.5031912,80,-1169.438232421875
1671333321.2099214,90,-1249.2376708984375
1671333321.923344,100,-1280.0013427734375
1671333322.6398804,110,-1377.3212890625
1671333323.372943,120,-1195.13232421875
1671333324.1250596,130,-1202.9302978515625
1671333324.8336182,140,-1167.6275634765625
1671333325.5278401,150,-1097.7264404296875
1671333326.2408094,160,-1006.0150146484375
1671333326.9470139,170,-1134.7144775390625
1671333327.6544333,180,-1119.62939453125
1671333328.389357,190,-1044.8516845703125
1671333329.1084025,200,-1150.113525390625
1671333329.9687836,210,-978.7933349609375
1671333330.7252123,220,-1045.0948486328125
1671333331.4125571,230,-1002.5055541992188
1671333332.132482,240,-952.1124877929688
1671333332.875043,250,-1071.6656494140625
1671333333.5698462,260,-921.3556518554688
1671333334.3049176,270,-913.4578857421875
1671333335.0455415,280,-909.4527587890625
1671333335.7920587,290,-790.980224609375
1671333336.5553203,300,-864.5264282226562
1671333337.2911053,310,-794.5987548828125
1671333338.056171,320,-762.6039428710938
1671333338.8267317,330,-754.6978759765625
1671333339.5580997,340,-792.88720703125
1671333340.2702405,350,-841.879638671875
1671333340.9951735,360,-855.4118041992188
1671333341.7018144,370,-700.0247802734375
1671333342.4234185,380,-872.7687377929688
1671333343.1453874,390,-806.2112426757812
1671333343.9317918,400,-825.7613525390625
1671333344.642145,410,-619.965576171875
1671333345.3501413,420,-723.8179321289062
1671333346.0618625,430,-870.9371948242188
1671333346.7810817,440,-824.11376953125
1671333347.4986262,450,-744.0122680664062
1671333348.2401505,460,-605.8482055664062
1671333348.953368,470,-597.57861328125
1671333349.689726,480,-695.1825561523438
1671333350.4055738,490,-639.9932861328125
1671333351.1140556,500,-583.6561279296875
1671333351.818358,510,-799.35791015625
1671333352.5290565,520,-619.6940307617188
1671333353.2369246,530,-774.4672241210938
1671333354.0118167,540,-743.781982421875
1671333354.753093,550,-797.4824829101562
1671333355.494068,560,-801.5260009765625
1671333356.3860464,570,-637.733154296875
1671333357.1067014,580,-607.1763916015625
1671333357.8513765,590,-606.63720703125
1671333358.5640237,600,-565.4989013671875
1671333359.4243293,610,-500.0936584472656
1671333360.1499884,620,-816.2366333007812
1671333360.8935516,630,-540.119384765625
1671333361.6247997,640,-326.62396240234375
1671333362.3791115,650,-485.42376708984375
1671333363.0921235,660,-616.6698608398438
1671333363.8236027,670,-601.0179443359375
1671333364.5772107,680,-471.1497802734375
1671333365.3205283,690,-310.002685546875
1671333366.0445726,700,-768.6809692382812
1671333366.7939875,710,-638.0963745117188
1671333367.5271184,720,-380.9223937988281
1671333368.2211244,730,-618.6743774414062
1671333368.9436538,740,-341.36175537109375
1671333369.6588068,750,-361.0685729980469
1671333370.4166296,760,-355.47283935546875
1671333371.1825826,770,-447.16522216796875
1671333371.9427748,780,-347.0152282714844
1671333372.722133,790,-488.5244445800781
1671333373.4623766,800,-414.8816833496094
1671333374.1942213,810,-461.2110900878906
1671333374.9366267,820,-491.71600341796875
1671333375.6729476,830,-329.2560729980469
1671333376.478388,840,-532.8992919921875
1671333377.2724187,850,-849.984619140625
1671333378.0755,860,-562.0780639648438
1671333378.8497407,870,-375.1404724121094
1671333379.6381586,880,-298.0166320800781
1671333380.4372,890,-480.4371643066406
1671333381.216568,900,-405.3272399902344
1671333382.0015266,910,-241.1123046875
1671333382.788789,920,-453.79827880859375
1671333383.6191282,930,-500.6781921386719
1671333384.47332,940,-374.08251953125
1671333385.3436987,950,-375.1241760253906
1671333386.3406267,960,-430.2352294921875
1671333387.1810176,970,-228.6529998779297
1671333388.0091712,980,-431.2642517089844
1671333388.8188534,990,-491.6782531738281
1671333389.6431465,1000,-343.7770080566406
