Wall time,Step,Value
1656056941.8171484,10,-1537.14501953125
1656056977.3047936,20,-956.2029418945312
1656057011.492402,30,-348.6374816894531
1656057044.5509973,40,-166.00770568847656
1656057076.4733584,50,-132.7491912841797
1656057107.8031852,60,-150.72003173828125
1656057135.0302799,70,-138.41232299804688
1656057158.668442,80,-110.92072296142578
1656057178.3667517,90,-174.93992614746094
1656057198.609699,100,-142.3334197998047
1656057219.0064292,110,-184.69869995117188
1656057238.921417,120,-161.27789306640625
1656057259.840829,130,-202.27871704101562
1656057279.6519954,140,-179.6292724609375
1656057299.8341262,150,-141.1373748779297
1656057320.0812964,160,-159.371826171875
1656057341.4396503,170,-179.7148895263672
1656057363.1100795,180,-191.98324584960938
1656057383.8217244,190,-163.08953857421875
1656057404.939871,200,-185.29571533203125
1656057425.7743306,210,-121.24127197265625
1656057446.6508343,220,-130.92649841308594
1656057466.6548293,230,-209.7854766845703
1656057485.4806283,240,-183.61070251464844
1656057504.6625173,250,-195.6959228515625
1656057524.4074378,260,-181.4111785888672
1656057543.9467793,270,-139.04840087890625
1656057563.4547193,280,-161.69293212890625
1656057582.068753,290,-135.46524047851562
1656057600.675137,300,-118.47421264648438
1656057619.526987,310,-136.07411193847656
1656057638.3517277,320,-168.62432861328125
1656057657.2734923,330,-124.93242645263672
1656057676.3286254,340,-136.404052734375
1656057695.4970124,350,-190.6220703125
1656057714.864392,360,-180.7593994140625
1656057734.285887,370,-121.2853775024414
1656057753.7221973,380,-206.46539306640625
1656057773.2653472,390,-172.5691375732422
1656057792.8735948,400,-156.96751403808594
1656057812.6111836,410,-120.65229797363281
1656057834.1488864,420,-169.91563415527344
1656057854.3558753,430,-100.29391479492188
1656057874.5071907,440,-148.2088165283203
1656057895.3367457,450,-172.05076599121094
1656057917.0555177,460,-147.28480529785156
1656057937.604318,470,-123.69247436523438
1656057957.6778069,480,-182.0621795654297
1656057977.6920483,490,-170.96669006347656
1656057996.5168283,500,-139.09344482421875
1656058014.677418,510,-189.64183044433594
1656058032.2811983,520,-147.64564514160156
1656058050.1834233,530,-121.67003631591797
1656058069.1190221,540,-177.77976989746094
1656058087.7550833,550,-145.57179260253906
1656058105.6039732,560,-294.2040710449219
1656058123.4113133,570,-151.90628051757812
1656058141.6221788,580,-142.78627014160156
1656058160.5582416,590,-153.0921173095703
1656058179.380456,600,-165.47982788085938
1656058197.0576313,610,-144.92880249023438
1656058214.797968,620,-149.530029296875
1656058232.6509202,630,-136.841552734375
1656058250.515854,640,-86.42440795898438
1656058268.3318815,650,-127.95697784423828
1656058286.6576085,660,-167.42117309570312
1656058305.6692297,670,-157.07192993164062
1656058325.0894558,680,-163.99066162109375
1656058344.6590133,690,-122.87657165527344
1656058363.664966,700,-167.92544555664062
1656058381.6035733,710,-182.72181701660156
1656058400.0035787,720,-133.4304962158203
1656058418.0509493,730,-158.6431884765625
1656058433.876149,740,-124.38257598876953
1656058449.479099,750,-136.80592346191406
1656058465.1018739,760,-105.33568572998047
1656058480.9082813,770,-211.5209503173828
1656058496.6743748,780,-147.45193481445312
1656058512.4344301,790,-195.16305541992188
1656058528.1718614,800,-168.6317901611328
1656058543.9489007,810,-156.2751922607422
1656058559.667962,820,-215.0566864013672
1656058575.3652015,830,-243.08135986328125
1656058591.159079,840,-160.15415954589844
1656058606.9164498,850,-169.4079132080078
1656058622.5132475,860,-191.83929443359375
1656058638.2762089,870,-144.2587127685547
1656058654.024436,880,-122.32769012451172
1656058669.6295412,890,-210.8217010498047
1656058685.3497667,900,-136.2006378173828
1656058701.7426589,910,-138.32293701171875
1656058717.9886057,920,-170.40565490722656
1656058734.2033882,930,-185.83856201171875
1656058751.2453694,940,-120.66326141357422
1656058768.0964074,950,-113.14192962646484
1656058787.1091025,960,-134.67770385742188
1656058806.5550964,970,-111.36127471923828
1656058825.1264596,980,-164.81805419921875
1656058843.8889754,990,-151.15249633789062
1656058862.2673352,1000,-159.9369354248047
1656058881.2686048,1010,-105.11368560791016
1656058900.0754833,1020,-122.47184753417969
1656058919.1880484,1030,-150.41978454589844
1656058937.8111029,1040,-141.86627197265625
1656058955.549888,1050,-151.2698516845703
1656058971.7594125,1060,-180.4249725341797
1656058987.5363667,1070,-130.93850708007812
1656059003.7880454,1080,-163.81289672851562
1656059020.0097442,1090,-135.5198974609375
1656059036.5808454,1100,-135.19480895996094
1656059053.2224712,1110,-147.88949584960938
1656059070.0922222,1120,-161.06228637695312
1656059086.5803063,1130,-168.48251342773438
1656059102.7256837,1140,-162.79002380371094
1656059119.3990166,1150,-132.36788940429688
1656059136.0092204,1160,-147.57411193847656
1656059152.9293542,1170,-181.347900390625
1656059169.5242145,1180,-148.91519165039062
1656059185.9853194,1190,-156.8014678955078
1656059202.4304183,1200,-299.568115234375
1656059218.4271512,1210,-135.912353515625
1656059231.7975087,1220,-123.40766906738281
1656059244.9013784,1230,-134.58116149902344
1656059258.0512543,1240,-185.5565948486328
1656059271.1923563,1250,-163.6782989501953
1656059284.351022,1260,-146.89889526367188
1656059298.4292533,1270,-126.24779510498047
1656059312.311873,1280,-116.49092864990234
1656059326.7182555,1290,-187.20892333984375
1656059341.1401613,1300,-140.47828674316406
1656059355.8636649,1310,-171.94198608398438
1656059371.6439092,1320,-145.8367156982422
1656059387.62694,1330,-151.4583740234375
1656059403.4844077,1340,-147.60577392578125
1656059419.3728542,1350,-240.9056396484375
1656059435.1670911,1360,-139.77090454101562
1656059451.01521,1370,-187.76055908203125
1656059466.860056,1380,-157.7164764404297
1656059482.8025277,1390,-179.210693359375
1656059499.4932127,1400,-111.0781478881836
1656059516.7823915,1410,-166.37448120117188
1656059533.7345273,1420,-98.30722045898438
1656059550.296015,1430,-179.29310607910156
1656059566.0993364,1440,-138.81492614746094
1656059582.0239255,1450,-191.8973388671875
1656059597.7684314,1460,-145.4634246826172
1656059613.6226895,1470,-134.12351989746094
1656059629.4674284,1480,-113.41441345214844
1656059645.2321756,1490,-148.44908142089844
1656059661.0146217,1500,-187.1092529296875
1656059676.8052182,1510,-142.1226043701172
1656059693.2630434,1520,-140.32562255859375
1656059709.9480069,1530,-150.31851196289062
1656059726.3613832,1540,-194.0758819580078
1656059743.204254,1550,-106.16886138916016
1656059760.3921442,1560,-152.03964233398438
1656059777.911334,1570,-161.9756317138672
1656059795.2685287,1580,-178.60009765625
1656059811.9156098,1590,-162.35202026367188
1656059828.764022,1600,-133.0905303955078
1656059845.461921,1610,-138.35882568359375
1656059861.438474,1620,-159.4348907470703
1656059878.383485,1630,-139.8743133544922
1656059895.613311,1640,-134.04957580566406
1656059914.5469124,1650,-124.18832397460938
1656059933.6419845,1660,-112.93534088134766
1656059952.4659083,1670,-162.2257537841797
1656059970.7354424,1680,-101.22273254394531
1656059989.393072,1690,-159.30892944335938
1656060009.055176,1700,-201.11257934570312
1656060030.4189966,1710,-127.56946563720703
1656060052.6319094,1720,-154.071044921875
1656060074.473122,1730,-132.10711669921875
1656060097.168419,1740,-119.56537628173828
1656060119.6031153,1750,-167.7156982421875
1656060139.1466417,1760,-263.1490783691406
1656060158.763676,1770,-274.48785400390625
1656060178.1452203,1780,-148.11695861816406
1656060198.0221963,1790,-146.20217895507812
1656060215.6521137,1800,-207.71978759765625
1656060232.3656998,1810,-193.15037536621094
1656060248.643165,1820,-174.12596130371094
1656060265.0235283,1830,-135.2520751953125
1656060281.515557,1840,-181.08338928222656
1656060297.7095914,1850,-137.33700561523438
1656060313.5300832,1860,-147.78199768066406
1656060329.324627,1870,-152.2921142578125
1656060345.8051553,1880,-100.46247863769531
1656060362.8335257,1890,-255.09080505371094
1656060379.2858555,1900,-190.20516967773438
1656060396.3661833,1910,-175.64540100097656
1656060413.0261512,1920,-125.02373504638672
1656060428.7902558,1930,-156.99920654296875
1656060444.5844033,1940,-111.77129364013672
1656060460.3037345,1950,-134.3176727294922
1656060476.1156998,1960,-136.7291717529297
1656060491.9035451,1970,-100.28182983398438
1656060507.745857,1980,-146.4728240966797
1656060523.494161,1990,-147.62472534179688
1656060539.1747136,2000,-124.845947265625
