Wall time,Step,Value
1656060860.575188,10,-1409.3388671875
1656060861.4631557,20,-1162.371337890625
1656060862.551128,30,-1389.6309814453125
1656060863.4379346,40,-1363.62890625
1656060864.304723,50,-1129.617431640625
1656060865.2105472,60,-1275.6661376953125
1656060866.1313848,70,-1298.5694580078125
1656060867.043214,80,-1094.76611328125
1656060868.009258,90,-1218.4136962890625
1656060868.9575758,100,-1229.1016845703125
1656060869.9364092,110,-1403.9407958984375
1656060870.9129102,120,-1178.8983154296875
1656060871.8903208,130,-1195.3236083984375
1656060872.8616266,140,-1249.582275390625
1656060873.830936,150,-1185.57470703125
1656060874.79704,160,-1131.4921875
1656060875.7664628,170,-1175.773193359375
1656060876.7339063,180,-1204.5888671875
1656060877.7098286,190,-1133.53076171875
1656060878.6821802,200,-1151.5557861328125
1656060879.6540937,210,-1020.4755859375
1656060880.6212492,220,-1040.46484375
1656060881.5564802,230,-1114.9332275390625
1656060882.5025175,240,-1046.106689453125
1656060883.4241903,250,-1177.4224853515625
1656060884.348295,260,-1068.66064453125
1656060885.3215463,270,-1001.6957397460938
1656060886.2901466,280,-1116.129150390625
1656060887.2583475,290,-1013.57080078125
1656060888.2133756,300,-1046.36376953125
1656060889.141424,310,-953.0012817382812
1656060890.0810955,320,-1048.2503662109375
1656060891.0576804,330,-1005.3275146484375
1656060892.0047328,340,-1052.92724609375
1656060892.966974,350,-1089.2303466796875
1656060893.9362574,360,-1066.4881591796875
1656060894.9059992,370,-980.7752685546875
1656060895.8750677,380,-1116.10205078125
1656060896.8493068,390,-1078.1080322265625
1656060897.792583,400,-1064.4193115234375
1656060898.7558408,410,-980.6644897460938
1656060899.7282138,420,-1053.251708984375
1656060900.6994882,430,-898.947998046875
1656060901.6716692,440,-999.107421875
1656060902.6511965,450,-1037.205810546875
1656060903.6201868,460,-894.3832397460938
1656060904.5866435,470,-929.9978637695312
1656060905.5628002,480,-1000.5794677734375
1656060906.5320697,490,-992.0886840820312
1656060907.516122,500,-889.7569580078125
1656060908.4862936,510,-965.9036865234375
1656060909.41185,520,-856.4736938476562
1656060910.343984,530,-895.07763671875
1656060911.3182702,540,-934.7722778320312
1656060912.2912188,550,-868.0182495117188
1656060913.2744715,560,-988.940185546875
1656060914.2498276,570,-896.8284301757812
1656060915.2131543,580,-896.9490356445312
1656060916.1482081,590,-918.7042846679688
1656060917.0866227,600,-853.0153198242188
1656060918.0668743,610,-811.2711791992188
1656060919.0358698,620,-775.0924072265625
1656060919.9981134,630,-841.6185913085938
1656060920.9365733,640,-779.0575561523438
1656060921.904011,650,-812.744873046875
1656060922.8473551,660,-885.1493530273438
1656060923.8217049,670,-789.3827514648438
1656060924.7683566,680,-868.7362060546875
1656060925.7147017,690,-816.64599609375
1656060926.6577756,700,-883.7401733398438
1656060927.600803,710,-873.3701782226562
1656060928.5381472,720,-800.1725463867188
1656060929.4983468,730,-845.0255737304688
1656060930.46768,740,-742.7304077148438
1656060931.436754,750,-697.084228515625
1656060932.3929203,760,-719.8632202148438
1656060933.3210468,770,-764.0870971679688
1656060934.2514672,780,-752.1494140625
1656060935.1865668,790,-761.936767578125
1656060936.1280613,800,-897.483154296875
1656060937.0981586,810,-740.513916015625
1656060938.0380886,820,-816.4251708984375
1656060938.9781504,830,-807.9453125
1656060939.9177723,840,-837.7888793945312
1656060940.8969328,850,-726.7400512695312
1656060941.8675003,860,-811.3344116210938
1656060942.8481421,870,-771.1206665039062
1656060943.8213484,880,-637.4653930664062
1656060944.7863398,890,-737.7623901367188
1656060945.7434425,900,-659.7747192382812
1656060946.716554,910,-612.6759033203125
