,t,Power,HR,SV,CO,VO2,VCO2,VE_ergo,BOA
0,0:02,0,66,65.1,4.2,369.0912444,315.8708022,10.815,63.63
1,0:05,0,68,68.6,4.7,385.2704356,332.1458593,10.918,62.99
2,0:08,0,69,52.2,3.6,270.08415,232.6605769,8.623,60.62
3,0:11,0,69,55.3,3.8,291.2278019,252.8699904,9,59.33
4,0:15,0,70,47.8,3.3,245.6235202,210.9777549,7.689,63.06
5,0:18,0,68,42.9,2.9,206.7825445,182.5226031,6.907,63.82
6,0:21,0,68,55.9,3.8,289.9162238,250.4096491,9.03,61.11
7,0:24,0,70,62,4.3,347.337908,296.5243686,10.178,64.13
8,0:27,0,70,61.3,4.3,342.3051394,291.9540949,9.748,63.54
9,0:31,0,72,64,4.6,378.7191583,326.9005658,10.789,63.49
10,0:34,0,77,46.2,3.6,265.6464165,229.1361894,8.552,62.86
11,0:37,0,77,37,2.8,200.4275582,172.7395607,7.089,60.04
12,0:40,0,78,63.1,4.9,416.1926251,354.8942674,11.477,62.01
13,0:44,0,77,52.3,4,313.2413576,268.549839,9.188,61.14
14,0:47,0,77,54.3,4.2,330.3392416,279.3214156,9.144,60.46
15,0:51,0,75,48.8,3.7,275.758421,231.7608946,8.322,63
16,0:54,0,77,46,3.5,264.3369927,221.5589662,7.536,60.5
17,0:57,0,77,43.3,3.3,244.2182631,202.0329864,7.109,62.53
18,1:00,0,75,59.4,4.5,360.7207936,297.8099503,9.924,62.14
19,1:04,0,72,54,3.9,298.8201678,245.1853314,9.009,63.17
20,1:07,0,72,70.6,5.1,436.6872172,357.5834777,11.773,60.96
21,1:10,0,77,73.1,5.6,511.9014577,424.1875113,14.048,60.78
22,1:12,0,77,79.3,6.1,584.0960313,487.3426721,15.772,64.13
23,1:15,0,87,62.8,5.5,488.5075016,413.4403968,13.404,62.18
24,1:18,0,91,60,5.5,488.16638,415.9932256,13.317,61.99
25,1:21,0,91,58.9,5.4,473.3786108,406.8238065,13.594,61.51
26,1:24,0,90,62.3,5.6,507.9918672,433.400523,14.021,62.44
27,1:26,0,90,59.9,5.4,478.0089784,401.013121,13.071,63.85
28,1:29,0,92,63.5,5.8,542.7156339,466.6733072,15.159,61.77
29,1:32,0,92,53.5,4.9,416.9446195,351.7536616,11.93,61.13
30,1:34,0,93,59.8,5.6,502.0871841,419.1354399,13.625,63.46
31,1:37,0,93,65.9,6.1,587.1329543,483.7843605,15.65,64.29
32,1:40,0,93,56.1,5.2,454.3322714,373.3396413,12.181,63.79
33,1:43,0,93,64.8,6,571.6156701,461.8696979,14.29,60.84
34,1:46,0,93,58.3,5.4,481.8461749,392.5189476,12.788,63.97
35,1:49,0,92,62.7,5.8,532.0753845,432.0826239,13.695,62.71
36,1:52,0,92,66.3,6.1,583.5424841,478.0740555,14.804,63.24
37,1:55,0,89,57.7,5.1,443.5394489,359.9421182,12.067,63.44
38,1:57,0,89,70.9,6.3,617.5376707,495.1832538,15.425,61.05
39,2:00,0,87,66.1,5.8,529.4684527,428.1399346,14.571,62.67
40,2:02,5,87,65.2,5.7,517.7120114,422.3052075,14.204,61.51
41,2:05,6,92,66.5,6.1,586.1549735,479.2773192,16.412,61.13
